"","date","median","lower","upper","candidate"
"1025",2018-02-14,6.838212615886,3.82687194551586,9.81710944180046,"Zelensky"
"1026",2018-02-15,6.83013816203027,3.80353057367215,9.80409351892324,"Zelensky"
"1027",2018-02-16,6.82509905183637,3.78487894995422,9.73273925557869,"Zelensky"
"1028",2018-02-17,6.81377037178829,3.75103038983074,9.70672859828528,"Zelensky"
"1029",2018-02-18,6.81121235502547,3.78683458303799,9.67780657552276,"Zelensky"
"1030",2018-02-19,6.79019120144254,3.72445718989629,9.66333812535758,"Zelensky"
"1031",2018-02-20,6.77704265838877,3.77315414298406,9.63241275946255,"Zelensky"
"1032",2018-02-21,6.76037278850599,3.74380776969967,9.61893379523007,"Zelensky"
"1033",2018-02-22,6.74404369738565,3.74694251211268,9.61038893182576,"Zelensky"
"1034",2018-02-23,6.71926960608577,3.75770141141516,9.56455341080869,"Zelensky"
"1035",2018-02-24,6.70648187818945,3.76789257552214,9.54690522688661,"Zelensky"
"1036",2018-02-25,6.69197065130632,3.75469196390359,9.50921517568072,"Zelensky"
"1037",2018-02-26,6.68271960656757,3.78218059306321,9.48877518573841,"Zelensky"
"1038",2018-02-27,6.67892650131225,3.73452248200162,9.45782785207712,"Zelensky"
"1039",2018-02-28,6.6694013430029,3.76627845872239,9.42216517635234,"Zelensky"
"1040",2018-03-01,6.66385773176128,3.71915796126134,9.37218842546372,"Zelensky"
"1041",2018-03-02,6.64037104233435,3.723908596192,9.36689181368007,"Zelensky"
"1042",2018-03-03,6.62622853480212,3.70664187927363,9.35678227870548,"Zelensky"
"1043",2018-03-04,6.60651348789241,3.73968462986376,9.32619518898113,"Zelensky"
"1044",2018-03-05,6.58220185055039,3.71778394670165,9.30710622039583,"Zelensky"
"1045",2018-03-06,6.56664590012897,3.73415166685469,9.25949717509012,"Zelensky"
"1046",2018-03-07,6.56793697042866,3.72216106153617,9.23943453073452,"Zelensky"
"1047",2018-03-08,6.55565356394519,3.69858087728573,9.19007507895185,"Zelensky"
"1048",2018-03-09,6.53802473545365,3.69060777350338,9.15413885885431,"Zelensky"
"1049",2018-03-10,6.53937568126101,3.66217375832818,9.1610881515843,"Zelensky"
"1050",2018-03-11,6.52173375075715,3.69441137825575,9.12204515232693,"Zelensky"
"1051",2018-03-12,6.49687518923299,3.71749838548998,9.07128746080949,"Zelensky"
"1052",2018-03-13,6.48690016013675,3.70000289272644,9.04253899002829,"Zelensky"
"1053",2018-03-14,6.46818892558662,3.69951463865443,9.03327262227716,"Zelensky"
"1054",2018-03-15,6.46342345597851,3.7040231342784,9.00713931846224,"Zelensky"
"1055",2018-03-16,6.43847465262103,3.73052530137571,8.92685798900721,"Zelensky"
"1056",2018-03-17,6.43450942150816,3.73378188784881,8.91174630968933,"Zelensky"
"1057",2018-03-18,6.41437668533091,3.76111244687796,8.90081386359666,"Zelensky"
"1058",2018-03-19,6.4079966290867,3.75393368950077,8.8815538416136,"Zelensky"
"1059",2018-03-20,6.39324858406279,3.7769740859991,8.85088912466105,"Zelensky"
"1060",2018-03-21,6.38421713401532,3.7676691858803,8.81052791958623,"Zelensky"
"1061",2018-03-22,6.37675571323181,3.79043871019306,8.77480547454598,"Zelensky"
"1062",2018-03-23,6.3534623512823,3.80938386068478,8.73080735609171,"Zelensky"
"1063",2018-03-24,6.35087916549773,3.818927158232,8.68858970558319,"Zelensky"
"1064",2018-03-25,6.32740926896473,3.83775380135597,8.6461083105717,"Zelensky"
"1065",2018-03-26,6.30920632128873,3.86079007439349,8.62225842947415,"Zelensky"
"1066",2018-03-27,6.29795074396861,3.83359515151006,8.57353269668945,"Zelensky"
"1067",2018-03-28,6.28348907700628,3.83907629861,8.55583928483881,"Zelensky"
"1068",2018-03-29,6.27245634325444,3.85257517246695,8.51312341332816,"Zelensky"
"1069",2018-03-30,6.26656953662225,3.8586157901757,8.47282821019467,"Zelensky"
"1070",2018-03-31,6.24661258803255,3.90710430812462,8.46357342120449,"Zelensky"
"1071",2018-04-01,6.22649044666591,3.9324036688811,8.38754131507271,"Zelensky"
"1072",2018-04-02,6.22069425276263,3.94614750671769,8.36356571922715,"Zelensky"
"1073",2018-04-03,6.20187790507945,3.95453569542577,8.32268125333038,"Zelensky"
"1074",2018-04-04,6.19137871551135,3.98931602504559,8.27004098584855,"Zelensky"
"1075",2018-04-05,6.17522291679631,4.00155246239069,8.22502704317735,"Zelensky"
"1076",2018-04-06,6.15482696373334,4.04372525871681,8.19692666167093,"Zelensky"
"1077",2018-04-07,6.14784709321847,4.0351133034619,8.13912431415029,"Zelensky"
"1078",2018-04-08,6.12650267496362,4.04539921442563,8.09396647448671,"Zelensky"
